smiles,chembl_id,has_single_amine,amine_type,logP,MW,HDonors,HAcceptors
Nc1nc(-c2cc(Cl)cc(Cl)c2)c(-c2cc(Cl)cc(Cl)c2)[nH]1,CHEMBL7935,True,primary,5.939500000000002,373.07000000000005,2,2
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccc(N=C=S)cc2C1=O,CHEMBL6814,True,tertiary,3.1475000000000017,370.43400000000014,0,6
O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1ccc(O)cc1,CHEMBL266780,True,tertiary,3.1965000000000012,269.25600000000003,1,4
Nc1nc2ccccc2c(=O)[nH]1,CHEMBL6993,True,primary,0.5053000000000001,161.16399999999996,2,3
O[C@@H]1c2ccc(OCc3ccccc3-c3ccccc3)cc2CC[C@H]1CCN1CCC(c2ccccc2)CC1,CHEMBL7719,True,tertiary,7.798100000000009,517.7130000000004,1,3
CCCC(=O)Nc1ccccc1Oc1cccc(OC)c1,CHEMBL8278,True,secondary,4.226100000000002,285.343,1,3
CNC1C2CCC(C2)C1C,CHEMBL6820,True,secondary,1.6403999999999999,139.242,1,1
Cn1cc(C2=C(c3cn(CCC[N+](C)(C)C)c4ccccc34)C(=O)NC2=O)c2ccccc21,CHEMBL6331,True,secondary,3.7965000000000027,441.5550000000001,1,2
Oc1ccc(C2CNCCO2)cc1O,CHEMBL7681,True,secondary,0.7586999999999997,195.218,3,4
CC(N)Cc1ccc(I)cc1,CHEMBL6368,True,primary,2.1809000000000003,261.106,1,1
COc1c2occc2c(CN(CCO)CCO)c2ccc(=O)oc12.Cl,CHEMBL428674,True,tertiary,1.7561999999999993,369.801,2,7
CCOC(=O)C1=C(O)C(=O)N(Cc2ccc(Br)cc2)C1,CHEMBL7603,True,tertiary,2.1665,340.173,1,4
CCOC(=O)C1=C(O)C(=O)N(Cc2cccs2)C1,CHEMBL6944,True,tertiary,1.4655,267.30600000000004,1,5
Nc1nc(O)c2ccc(C(F)(F)F)cc2n1,CHEMBL267971,True,primary,1.9363999999999997,229.16099999999994,2,4
COC(=O)C(C)(C)CCCOc1cccc(OCCCC(C)(C)C(=O)OC)c1[N+](=O)[O-],CHEMBL8114,True,tertiary,4.311200000000004,439.5050000000003,0,8
O=C(N[C@@H](Cc1c[nH]c2ccc(F)cc12)C(=O)O)c1ccccc1Br,CHEMBL267158,True,secondary,3.4952000000000014,405.22300000000007,3,2
CCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,CHEMBL6843,True,secondary,4.121000000000003,297.276,1,3
